30,41
4,47
23,19
37,36
30,41
10,19
49,15
50,47
31,3
4,35
13,25
19,24
36,37
46,21
15,10
11,17
18,34
42,35
17,12
8,40
33,49
18,39
36,49
10,25
47,42
17,16
24,4
36,37
14,6
35,27
50,44
30,25
50,12
46,31
50,8
48,25
8,22
33,15
40,44
34,4
38,33
34,17
42,37
18,1
47,5
28,32
40,3
18,5
12,29
45,5
27,43
22,1
34,6
37,49
24,30
7,23
32,20
6,21
13,45
1,32
42,5
26,18
43,22
40,34
13,29
37,18
49,43
17,17
30,14
13,31
2,42
27,22
47,34
6,23
26,28
44,37
13,29
45,17
16,47
13,14
27,24
32,34
39,31
39,11
36,39
19,28
18,44
3,18
50,33
42,19
8,33
36,39
4,6
40,30
16,45
45,24
17,28
42,31
19,27
34,13
32,24
1,36
49,46
37,30
46,3
25,4
31,6
20,27
40,18
9,2
9,12
26,16
37,28
21,46
21,43
38,12
10,43
47,3
2,5
31,11
13,43
33,7
2,4
28,32
19,10
20,13
15,8
7,1
15,1
2,41
10,12
2,37
26,45
26,40
44,36
6,8
34,29
44,46
33,28
4,2
7,13
22,41
5,10
36,29
27,48
19,39
6,16
4,5
43,32
8,3
